AKM1MP6P0OYPR,0132793040,5.0
A2CX7LUOHB2NDG,0321732944,5.0
A2NWSAGRHCP8N5,0439886341,1.0
A2WNBOD3WNDNKT,0439886341,3.0
A1GI0U4ZRJA8WN,0439886341,1.0
A1QGNMC6O1VW39,0511189877,5.0
A3J3BRHTDRFJ2G,0511189877,2.0
A2TY0BTJOTENPG,0511189877,5.0
A34ATBPOK6HCHY,0511189877,5.0
A89DO69P0XZ27,0511189877,5.0
AZYNQZ94U6VDB,0511189877,5.0
A1DA3W4GTFXP6O,0528881469,5.0
A29LPQQDG7LD5J,0528881469,1.0
AO94DHGC771SJ,0528881469,5.0
AMO214LNFCEI4,0528881469,1.0
A28B1G1MSJ6OO1,0528881469,4.0
A3N7T0DY83Y4IG,0528881469,3.0
A1H8PY3QHMQQA0,0528881469,2.0
A2CPBQ5W4OGBX,0528881469,2.0
A265MKAR2WEH3Y,0528881469,4.0
A37K02NKUIT68K,0528881469,5.0
A2AW1SSVUIYV9Y,0528881469,4.0
A2AEHUKOV014BP,0528881469,5.0
AMLFNXUIEMN4T,0528881469,1.0
A2O8FIJR9EBU56,0528881469,4.0
A3IQGFB959IR4P,0528881469,1.0
AYTBGUX49LF3W,0528881469,4.0
A24QFSUU00IZ05,0528881469,2.0
A1NG5X8VYZWX0Q,0528881469,1.0
A1E4WG8HRWWK4R,0528881469,5.0
A2AOEW5UGXFOOQ,0528881469,5.0
A2XSWV6AQI90BR,0528881469,1.0
AR84FMFYCQCWF,0528881469,1.0
A19TBA1WARJS55,0528881469,2.0
A3C5SMBSKKWNPT,0528881469,5.0
A24EV6RXELQZ63,0528881469,1.0
A3T6ZQONABIJSG,0528881469,1.0
A132P6YSJSI5G2,0528881469,2.0
A1NQPG5IJ43HJI,0558835155,3.0
A2WOJCFAWI8VS8,059400232X,5.0
A22FB2WSZSXSHH,059400232X,5.0
AZQZ3STMCBG5H,059400232X,5.0
A2EGPA22UHMQXL,0594012015,1.0
AC57CU3TF6ZMJ,0594012015,5.0
A2YX0Z6RHA8Y2H,0594012015,1.0
A38T51B7J6QVD9,0594012015,1.0
A1HOSS7PNC1LMU,0594012015,1.0
A9HI77BE35VYE,0594012015,1.0
A3HFUWKSPF5QEH,0594012015,5.0
A38ETMHM9ATSF0,0594012015,1.0
A34O6MND17VDDH,0594017343,1.0
A3JSAGWSLY5044,0594017580,3.0
A3B12X05JZKM94,0594033896,5.0
AKZOMZCNU41GZ,0594033896,4.0
A2XTFY0GJDF3R2,0594033896,4.0
A3ILG56NE5QU37,0594033896,5.0
AOK77THMKCGXZ,0594033896,4.0
A24RBL3W5W6SAN,0594033926,5.0
A2RX85Y4S27N2J,0594033926,1.0
A253JJFXQNPCOJ,0594033926,4.0
AHYURLVH267MA,0594033926,5.0
A1FXYTO11KEJ2P,0594033926,4.0
A2TKKYL3GKFS2M,0594033926,5.0
A3F069UFW04K1E,0594033926,5.0
A3HQ8RXUMJ2Y58,0594033926,5.0
A2MNKBHPMBB0EA,0594033926,5.0
A3HGTTFIDLCWDJ,0594033926,4.0
